,line,filename,entity,len,lineNo,blank,email,url,phone,sigdelimiter,special,words,header,name,endquote,tabs1,tabs2,tabs3,punct20,punct50,punct90,reply,startpunct,firstchar,replypunct,wrote,alphanum90,alphanum50,alphanum10,num90,num50,num10,title,nlines,len_avg,len_min,len_max,nBlanks,nNonBlanks,nSig,nSigBlocks,posFromEnd,last,prevlast,last5,last11,posRatio,posRatioFromEnd,posRatioNB,lenRatio,lenRatioMax,less_avg_len,more_avg_len,less_avg_len75,less_avg_len50
0,"The report named: East P/L Totals <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=1&report_name=East+P/L+Totals&category_cd=1&category_name=EAST&toc_hide=1&sTV1=1&TV1Exp=Y&current_efct_date=11/28/2001>, published as of 11/28/2001 is now available for viewing on the website.",100_body,no_entity,281,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,0,0,0,0,0,0,1,281.0,281,281,0,1,0,0,0,1,0,1,1,1.0,0.0,1.0,1.0,1.0,1,0,0,0
1,Please call me back - I love you so much.,101_body,no_entity,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,1,0,0,0,0,0,0,1,41.0,41,41,0,1,0,0,0,1,0,1,1,1.0,0.0,1.0,1.0,1.0,1,0,0,0
2,"The report named: East P/L Totals <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=1&report_name=East+P/L+Totals&category_cd=1&category_name=EAST&toc_hide=1&sTV1=1&TV1Exp=Y&current_efct_date=11/29/2001>, published as of 11/29/2001 is now available for viewing on the website.",102_body,no_entity,281,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,0,0,0,0,0,0,1,281.0,281,281,0,1,0,0,0,1,0,1,1,1.0,0.0,1.0,1.0,1.0,1,0,0,0
3,Please terminate any contributions to the United Way for 2001 & 2002.  Please call me at X35775 if you have any questions.,103_body,no_entity,122,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,1,0,0,0,0,1,0,1,122.0,122,122,0,1,0,0,0,1,0,1,1,1.0,0.0,1.0,1.0,1.0,1,0,0,0
4,Read each sentence slowly and think about it.,104_body,no_entity,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,81,0,0,0,0,0.012195121951219513,0.9878048780487805,0.017543859649122806,1.875,0.8333333333333334,0,1,0,0
5,,104_body,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,80,0,0,0,0,0.024390243902439025,0.975609756097561,0.03508771929824561,0.0,0.0,1,0,1,1
6,"Love starts with a smile, grows with a kiss, and ends",104_body,no_entity,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,79,0,0,0,0,0.036585365853658534,0.9634146341463414,0.05263157894736842,2.2083333333333335,0.9814814814814815,0,1,0,0
7,with a tear.,104_body,no_entity,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,78,0,0,0,0,0.04878048780487805,0.9512195121951219,0.07017543859649122,0.5,0.2222222222222222,1,0,1,1
8,,104_body,no_entity,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,77,0,0,0,0,0.06097560975609756,0.9390243902439024,0.08771929824561403,0.0,0.0,1,0,1,1
9,Don't cry over anyone who won't cry over you.,104_body,no_entity,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,76,0,0,0,0,0.07317073170731707,0.926829268292683,0.10526315789473684,1.875,0.8333333333333334,0,1,0,0
10,,104_body,no_entity,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,75,0,0,0,0,0.08536585365853659,0.9146341463414634,0.12280701754385964,0.0,0.0,1,0,1,1
11,"Good friends are hard to find, harder to leave, and",104_body,no_entity,51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,74,0,0,0,0,0.0975609756097561,0.9024390243902439,0.14035087719298245,2.125,0.9444444444444444,0,1,0,0
12,impossible to forget.,104_body,no_entity,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,73,0,0,0,0,0.10975609756097561,0.8902439024390244,0.15789473684210525,0.875,0.3888888888888889,1,0,0,0
13,,104_body,no_entity,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,72,0,0,0,0,0.12195121951219512,0.8780487804878049,0.17543859649122806,0.0,0.0,1,0,1,1
14,You can only go as far as you push.,104_body,no_entity,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,71,0,0,0,0,0.13414634146341464,0.8658536585365854,0.19298245614035087,1.4583333333333333,0.6481481481481481,0,1,0,0
15,,104_body,no_entity,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,70,0,0,0,0,0.14634146341463414,0.8536585365853658,0.21052631578947367,0.0,0.0,1,0,1,1
16,Actions speak louder than words.,104_body,no_entity,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,69,0,0,0,0,0.15853658536585366,0.8414634146341463,0.22807017543859648,1.3333333333333333,0.5925925925925926,0,1,0,0
17,,104_body,no_entity,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,68,0,0,0,0,0.17073170731707318,0.8292682926829268,0.24561403508771928,0.0,0.0,1,0,1,1
18,"The hardest thing to do is watch the one you love,",104_body,no_entity,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,67,0,0,0,0,0.18292682926829268,0.8170731707317073,0.2631578947368421,2.0833333333333335,0.9259259259259259,0,1,0,0
19,love somebody else.,104_body,no_entity,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,l,0,0,1,0,0,0,0,0,0,82,24.0,0,54,25,57,0,0,66,0,0,0,0,0.1951219512195122,0.8048780487804879,0.2807017543859649,0.7916666666666666,0.35185185185185186,1,0,0,0
20,,104_body,no_entity,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,82,24.0,0,54,25,57,0,0,65,0,0,0,0,0.2073170731707317,0.7926829268292683,0.2982456140350877,0.0,0.0,1,0,1,1
